names,price,description
Snow Valley Heights,4423,This Shimla Hotel is located in Kachi Ghatti locality Shimla Airport is the nearest transit points to travel from the hotel. This is a popular couple friendly hotel in Shimla.
"Clarkes Hotel, A grand heritage hotel since 1898",8750,"Set in Shimla, this 5 star accommodation is one of the top Hotel in Shimla. Located in Mall Road location this Shimla Hotel is rated 4.8/5 by 73 guest. This Shimla Hotel offers Bar, Laundry Service and Ironing Service. Skyjumper Amusement and Trampoline Park Shimla is very near to this Shimla Hotel. Shimla Airport is the nearest transit points to travel from the hotel. This The Oberoi Group is highly recommended in this locality."
Meena Bagh Shimla,3095,"This Shimla Villa is located in Sanjauli locality Rated 4.5/5 by 58 guest, this is an ultimate Villa in Shimla. Shimla Airport is the nearest transit points to travel from the hotel. This is a popular couple friendly hotel in Shimla."
The Zion Hotel,3922,"Set in Shimla, this 4 star accommodation is one of the top Resort in Shimla. Located in Kachi Ghatti location this Shimla Resort is rated 4.5/5 by 293 guest. This Shimla Resort offers Laundry Service, Ironing Service and Gym. 79% of guest like the Safety and Hygiene of this Shimla Resort. Sankat Mochan is very near to this Shimla Resort. Shimla Airport is the nearest transit points to travel from the hotel. This hotel in Shimla is couple friendly hotel."
The Oberoi Cecil,12000,"This Shimla Hotel is located in Nabha locality Rated 4.8/5 by 84 guest, this is an ultimate Hotel in Shimla. Shimla Airport is the nearest transit points to travel from the hotel. This The Oberoi Group is highly recommended in this locality."
Snow Valley Resorts,4725,"Set in Shimla, this 4 star accommodation is one of the top Hotel in Shimla. Located in Kachi Ghatti location this Shimla Hotel is rated 4.4/5 by 2378 guest. This Shimla Hotel offers Laundry Service, Ironing Service and Gym. 72% of guest like the Safety and Hygiene of this Shimla Hotel. Sankat Mochan is very near to this Shimla Hotel. Shimla Airport is the nearest transit points to travel from the hotel. This hotel in Shimla is couple friendly hotel."
"Jakhu vibes, shimla",2233,"This Shimla Homestay is located in Navbhahar locality Rated 4.8/5 by 20 guest, this is an ultimate Homestay in Shimla. Shimla Airport is the nearest transit points to travel from the hotel. This is a popular couple friendly hotel in Shimla."
Summit Le Royale,2841,"Set in Shimla, this 3 star accommodation is one of the top Hotel in Shimla. Located in Lakkar Bazaar location this Shimla Hotel is rated 4.0/5 by 237 guest. This Shimla Hotel offers Laundry Service, Ironing Service and Free Parking. 87% of guest like the Safety and Hygiene of this Shimla Hotel. Ridge is very near to this Shimla Hotel. Shimla Airport is the nearest transit points to travel from the hotel. This hotel in Shimla is couple friendly hotel."
The Rock Castle,3467,"This Shimla Hotel is located in Kachi Ghatti locality Rated 4.3/5 by 704 guest, this is an ultimate Hotel in Shimla. Service Quality, Amenities and Safety & Hygiene are the big factor of this Shimla Hotel. In terms of amenities, 79% guests like the Parking, Television and Restaurant of this Shimla Hotel. 68% of guest said that the Safety and Hygiene of this Shimla Hotel is good. Shimla Airport is the nearest transit points to travel from the hotel. This is a popular couple friendly hotel in Shimla."
Zostel Homes Mashobra (Shimla),3561,"Set in Shimla, this accommodation is one of the top Homestay in Shimla. Located in Kandi Seghar Rd location this Shimla Homestay is rated 4.3/5 by 28 guest. This Shimla Homestay offers Free Parking and Lawn."
